2026-02-03 21:28:48 | WARN | api | Elevated error rate observed window_s=30 rate=7.1% (env=prod, region=ap-southeast-1, ip=145.59.38.113, request_id=6w80gc2tv433r4yd, trace_id=lh7b6c9sad9qsyk60mnh2lel, ua="curl/8.4.0")
2026-02-03 21:29:07 | WARN | api | Queue backlog growing size=5181 (env=staging, region=us-east-1, ip=172.141.137.245, request_id=qyjt1ynuaz80os1u, trace_id=aehzyk0xmbhb7w9t8qc2sbov, ua="curl/8.4.0")
2026-02-03 21:30:33 | WARN | api | Elevated error rate observed window_s=120 rate=14.8% (env=prod, region=eu-west-1, ip=105.110.31.23, request_id=ykwf4td91ws74i1f, trace_id=l5md2bghckpjl2xipqd6qgp5, ua="curl/8.4.0")
2026-02-03 21:31:14 | WARN | api | High memory usage warning mem=95% (env=prod, region=us-east-1, ip=50.140.114.70, request_id=8nbujfp29m1e9pou, trace_id=do0hlxh662rfvqnjlk04bzes, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 21:31:38 | WARN | api | Rate limit nearing threshold remaining=48 (env=prod, region=eu-west-1, ip=240.93.5.100, request_id=b7lnfkba8oygy8mx, trace_id=r3tfqig3imieqsmlcol3jf83, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-03 21:32:58 | WARN | api | Retrying request to upstream service attempt=1 (env=staging, region=me-south-1, ip=64.107.30.21, request_id=tjdmd7viu9ztzy8h, trace_id=p361uhi2r4c3h2wq08kswayw, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 21:33:48 | WARN | api | Payment provider latency high (2938ms) (env=staging, region=ap-southeast-1, ip=156.156.175.7, request_id=eu8p85u1oqgbbi7w, trace_id=f5sasp1653amv129d2kjrgap, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-03 21:34:15 | WARN | api | High memory usage warning mem=66% (env=staging, region=eu-west-1, ip=124.64.62.40, request_id=oha1j4mtuqzk9hmi, trace_id=pgoqjgu21b734u0eiviidmer, ua="curl/8.4.0")
2026-02-03 21:35:13 | WARN | api | Queue backlog growing size=6865 (env=prod, region=me-south-1, ip=153.132.93.90, request_id=rvkocctmcxpw2jle, trace_id=3cj2a4i8vddh8eemeder9sih, ua="curl/8.4.0")
2026-02-03 21:36:29 | WARN | api | Retrying request to upstream service attempt=4 (env=prod, region=us-east-1, ip=252.47.157.92, request_id=ha7xp62acbgawli5, trace_id=e55n12j77ae4pyfw0nferknb, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 21:38:38 | WARN | api | Retrying request to upstream service attempt=1 (env=staging, region=us-east-1, ip=41.169.111.142, request_id=trgqqn9jjbea5382, trace_id=1660bxth02wqt0vqhshqm7x4, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-03 21:39:30 | WARN | api | High memory usage warning mem=74% (env=staging, region=me-south-1, ip=107.48.35.50, request_id=jmgp13cf1hplbf4h, trace_id=usxstxilf96we4qs9zob6kdl, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 21:41:14 | WARN | api | Payment provider latency high (2862ms) (env=staging, region=ap-southeast-1, ip=160.234.1.58, request_id=wzvdvvbjps50ztnm, trace_id=oztegwpek8yvbfts8fk1do3f, ua="PostmanRuntime/7.36.0")
2026-02-03 21:41:33 | WARN | api | Queue backlog growing size=1052 (env=staging, region=ap-southeast-1, ip=226.70.93.197, request_id=dnk4puwn7d4cnn0s, trace_id=9dsaw7g63fje015v7o7vgoba, ua="curl/8.4.0")
2026-02-03 21:47:00 | WARN | api | Circuit breaker half-open dependency=search-index (env=dev, region=me-south-1, ip=108.105.77.76, request_id=1r5d5815c4ak94r8, trace_id=62s9efhnw0lopwvngjzgguaj, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 21:47:09 | WARN | api | Rate limit nearing threshold remaining=19 (env=prod, region=me-south-1, ip=215.26.193.223, request_id=b6oymf960ogiz9zl, trace_id=jodwh8ehkvua1dbpjgx5jmcr, ua="PostmanRuntime/7.36.0")
2026-02-03 21:48:00 | WARN | api | High memory usage warning mem=61% (env=staging, region=me-south-1, ip=128.248.124.218, request_id=5odhns6e9ja4frhl, trace_id=wyw6tyygf8cuzf0ja9ye5j3f, ua="PostmanRuntime/7.36.0")
2026-02-03 21:50:14 | WARN | api | High memory usage warning mem=75% (env=dev, region=us-east-1, ip=208.180.224.61, request_id=z8w62rl9ldvday7d, trace_id=hg2pwyyfkgmgr06l1j00fsck, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
